px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
145.496,19.179,2.76296,0.863428,145.789,19.3785,145.51,19.4754,2.66445,1.23795
148.251,20.4723,2.76242,1.59169,148.251,20.4754,148.163,20.7364,2.66951,1.29702
148.223,20.4684,2.61803,1.56958,148.146,20.9376,148.163,20.7364,2.66951,1.29702
150.687,22.1137,2.32245,1.69266,150.686,22.1142,150.825,22.0502,2.67111,1.33953
150.722,22.119,2.61204,1.74251,150.649,21.8148,150.825,22.0502,2.67111,1.33953
153.421,23.4935,2.76801,1.12159,153.422,23.4909,153.491,23.3999,2.66999,1.3647
153.403,23.4905,2.68709,1.10807,153.466,22.9115,153.491,23.3999,2.66999,1.3647
156.047,24.807,2.61192,1.45986,156.047,24.8084,156.159,24.7682,2.66666,1.37208
156.029,24.8041,2.4963,1.43966,156.009,25.0678,156.159,24.7682,2.66666,1.37208
158.901,26.0321,3.21759,1.0956,158.905,26.0308,158.827,26.1372,2.66127,1.36157
158.885,26.0293,2.99307,1.05542,159.014,26.1903,158.827,26.1372,2.66127,1.36157
161.416,27.4234,2.11043,1.61108,161.412,27.4256,161.493,27.4891,2.65371,1.33344
161.484,27.4352,2.38834,1.66182,161.529,27.8454,161.493,27.4891,2.65371,1.33344
163.628,28.7707,1.89872,1.09749,163.625,28.7683,164.155,28.8064,2.64354,1.28825
163.797,28.8007,2.47958,1.20497,164.116,29.315,164.155,28.8064,2.64354,1.28825
166.823,30.2046,3.54763,1.56675,166.828,30.2062,166.809,30.0721,2.63006,1.22694
166.69,30.1802,2.84098,1.42971,166.748,29.7121,166.809,30.0721,2.63006,1.22694
169.101,31.3736,1.99765,1.00896,169.097,31.3717,169.452,31.2706,2.61238,1.15075
169.189,31.39,2.45426,1.09828,169.345,30.7063,169.452,31.2706,2.61238,1.15075
172.17,32.3412,3.46883,0.872815,172.175,32.3404,172.079,32.3873,2.58945,1.06126
172.091,32.3263,2.94026,0.770505,172.135,32.6666,172.079,32.3873,2.58945,1.06126
174.646,33.4601,2.21185,1.36988,174.643,33.4625,174.685,33.4095,2.56021,0.960341
174.655,33.4618,2.33721,1.39565,174.474,33.9157,174.685,33.4095,2.56021,0.960341
177.03,34.2056,2.37941,0.289602,177.03,34.2009,177.261,34.3262,2.52363,0.850119
177.06,34.2114,2.47555,0.308284,177.211,33.8467,177.261,34.3262,2.52363,0.850119
180.139,35.1376,3.67571,1.38743,180.145,35.1423,179.799,35.1289,2.47883,0.732949
179.907,35.092,2.64536,1.1817,179.543,35.4767,179.799,35.1289,2.47883,0.732949
182.599,35.7567,2.7108,0.305154,182.599,35.753,182.292,35.8114,2.42515,0.611338
182.501,35.7376,2.46869,0.257757,182.047,36.2626,182.292,35.8114,2.42515,0.611338
184.734,36.5119,2.03648,1.12433,184.732,36.5155,184.73,36.37,2.36226,0.487877
184.736,36.5123,2.02938,1.12278,184.833,36.1451,184.73,36.37,2.36226,0.487877
186.945,36.9453,2.34272,-0.0411007,186.946,36.9404,187.103,36.804,2.29017,0.365145
187.01,36.9582,2.46399,-0.0171304,187.296,36.9375,187.103,36.804,2.29017,0.365145
189.465,37.4019,2.46868,0.765682,189.465,37.4052,189.401,37.1147,2.20928,0.245623
189.454,37.3996,2.24234,0.720851,189.738,36.951,189.401,37.1147,2.20928,0.245623
191.735,37.567,2.29052,-0.218052,191.735,37.5631,191.615,37.3064,2.12037,0.131591
191.703,37.5607,2.20388,-0.234922,191.682,37.1147,191.615,37.3064,2.12037,0.131591
193.475,37.2794,1.36527,-0.334608,193.471,37.2789,193.738,37.3853,2.02462,0.0250452
193.567,37.2971,1.86009,-0.243041,193.555,37.4234,193.738,37.3853,2.02462,0.0250452
195.986,37.3964,2.95941,0.36552,195.991,37.3991,195.762,37.3598,1.92349,-0.072386
195.785,37.3581,2.07144,0.199327,195.507,37.4891,195.762,37.3598,1.92349,-0.072386
197.726,37.7274,1.8257,0.481917,197.725,37.7285,197.683,37.2395,1.81869,-0.159495
197.691,37.7207,1.7936,0.475764,197.582,37.303,197.683,37.2395,1.81869,-0.159495
199.296,37.2927,1.38578,-1.06896,199.294,37.2862,199.497,37.0353,1.71212,-0.235529
199.353,37.3033,1.68863,-1.01532,199.356,37.3527,199.497,37.0353,1.71212,-0.235529
201.544,36.9921,2.69505,0.20435,201.549,36.9973,201.203,36.7587,1.6057,-0.300201
201.335,36.9537,1.80515,0.0467598,200.932,37.4694,201.203,36.7587,1.6057,-0.300201
202.964,36.4608,1.44007,-0.878055,202.962,36.4568,202.801,36.4212,1.50137,-0.353671
202.938,36.4562,1.42106,-0.881923,202.65,37.2445,202.801,36.4212,1.50137,-0.353671
203.994,36.1924,0.73931,0.151596,203.991,36.1967,204.294,36.0343,1.40095,-0.396497
204.044,36.2014,1.20271,0.23132,203.809,36.2941,204.294,36.0343,1.40095,-0.396497
